continent,country_clean,ISO_A,year,sector,education_level,indicator,avg_m,avg_f,gap_pct,gap_abs
Oceania,Palau,PLW_A,2020,Other,"Less than basic","Labour Force",0.08834583333333332,0.020624999999999998,68.13269574863763,0.06772083333333333
Oceania,Palau,PLW_A,2020,Other,Basic,"Labour Force",0.14902291666666664,0.059142857142857136,49.18856314734344,0.08988005952380955
Oceania,Palau,PLW_A,2020,Other,Intermediate,"Labour Force",1.0689125000000002,0.6322027777777778,38.426810756798716,0.4367097222222224
Oceania,Palau,PLW_A,2020,Other,Advanced,"Labour Force",0.27654755892255894,0.2947583333333333,-5.225960167455039,-0.018210774410774375
Oceania,Palau,PLW_A,2020,Other,"Not stated","Labour Force",0.019999999999999997,0.0275,-48.164682539682545,-0.0075000000000000015
Oceania,Palau,PLW_A,2014,Other,"Less than basic","Labour Force",0.08316666666666667,0.044,54.48275862068965,0.05266666666666667
Oceania,Palau,PLW_A,2014,Other,Basic,"Labour Force",0.20003571428571426,0.13205,33.928706715877375,0.06798571428571427
Oceania,Palau,PLW_A,2014,Other,Intermediate,"Labour Force",0.7494791666666666,0.4892277777777778,36.5228281061068,0.26025138888888877
Oceania,Palau,PLW_A,2014,Other,Advanced,"Labour Force",0.4863393939393939,0.4552454545454546,4.669420647591381,0.031093939393939334
Oceania,Palau,PLW_A,2014,Other,"Not stated","Labour Force",0.03966666666666666,0.06133333333333333,-52.643678160919535,-0.021666666666666664
Oceania,Palau,PLW_A,2020,Other,"Not stated","Labour Participation Rate",62.652008441558436,51.06332012987013,20.18495950350715,11.588688311688312
Oceania,Palau,PLW_A,2014,Other,"Not stated","Labour Participation Rate",61.35781623376623,47.67293636363637,23.458372799157,13.684879870129869
Oceania,Palau,PLW_A,2020,Other,"Not stated",Employment,2.259875324675324,1.5210012987012989,32.48924911991821,0.7388740259740257
Oceania,Palau,PLW_A,2014,Other,"Not stated",Employment,2.0035318181818185,1.5123045454545454,26.42472102026124,0.49122727272727285
Oceania,Palau,PLW_A,2020,Other,"Not stated",Unemployment,0.02013888888888889,0.024055555555555556,-18.3692642294196,-0.003916666666666665
Oceania,Palau,PLW_A,2014,Other,"Not stated",Unemployment,0.043666666666666666,0.058666666666666666,-35.54576007836382,-0.015000000000000001
"North America","El Salvador",SLV_A,2023,Other,"Less than basic","Labour Force",134.078125,102.07163750000001,24.527036264233214,32.0064875
"North America","El Salvador",SLV_A,2023,Other,Basic,"Labour Force",198.59658125,128.12253125,36.44369477475226,70.47405
"North America","El Salvador",SLV_A,2023,Other,Intermediate,"Labour Force",124.32181666666668,90.2511875,31.94438563630084,34.07062916666668
"North America","El Salvador",SLV_A,2023,Other,Advanced,"Labour Force",110.17478008241758,100.83396862348178,8.979738828015929,9.340811458935791
"North America","El Salvador",SLV_A,2023,Other,"Not stated","Labour Force",10.833416666666666,12.272916666666667,-16.09746629754839,-1.4395000000000007
"North America","El Salvador",SLV_A,2022,Other,"Less than basic","Labour Force",135.77634166666667,93.7144125,31.879759588644124,42.06192916666666
"North America","El Salvador",SLV_A,2022,Other,Basic,"Labour Force",195.14030625,121.19119375,38.50762691107037,73.94911250000001
"North America","El Salvador",SLV_A,2022,Other,Intermediate,"Labour Force",118.82377916666665,84.62339583333333,23.10202063209865,34.20038333333333
"North America","El Salvador",SLV_A,2022,Other,Advanced,"Labour Force",116.15546916971918,100.89094925213675,14.962929826936547,15.264519917582424
"North America","El Salvador",SLV_A,2022,Other,"Not stated","Labour Force",7.942916666666666,8.372583333333333,-7.001242734510638,-0.42966666666666714
"North America","El Salvador",SLV_A,2021,Other,"Less than basic","Labour Force",137.11759166666667,95.620875,30.51596695350927,41.496716666666686
"North America","El Salvador",SLV_A,2021,Other,Basic,"Labour Force",193.96446874999998,114.87653125000001,40.330831213783036,79.08793749999998
"North America","El Salvador",SLV_A,2021,Other,Intermediate,"Labour Force",116.56622083333333,80.83404166666666,32.80035930934775,35.73217916666667
"North America","El Salvador",SLV_A,2021,Other,Advanced,"Labour Force",113.96302931749624,97.59817232277527,16.798203699416252,16.364856994720967
"North America","El Salvador",SLV_A,2021,Other,"Not stated","Labour Force",7.6245,10.368083333333335,-39.355493747938006,-2.743583333333334
"North America","El Salvador",SLV_A,2020,Other,"Less than basic","Labour Force",133.9590125,97.28442916666667,28.823898928132202,36.674583333333324
"North America","El Salvador",SLV_A,2020,Other,Basic,"Labour Force",194.33426250000002,117.46699375000001,36.05268652064459,76.86726875
"North America","El Salvador",SLV_A,2020,Other,Intermediate,"Labour Force",116.96240833333331,76.06487916666666,33.792389260123585,40.89752916666666
"North America","El Salvador",SLV_A,2020,Other,Advanced,"Labour Force",116.10261962669684,95.27451696832578,21.017374863682278,20.82810265837105
"North America","El Salvador",SLV_A,2020,Other,"Not stated","Labour Force",9.687833333333334,10.716666666666667,-13.311785498931078,-1.0288333333333328
"North America","El Salvador",SLV_A,2019,Other,"Less than basic","Labour Force",147.71916666666667,104.52869166666666,30.29704703767336,43.190475
"North America","El Salvador",SLV_A,2019,Other,Basic,"Labour Force",207.63249375,129.2467,38.94442938045985,78.38579375000002
